track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
6qU7nleCh7DA8LLLE1PE88,Fiki,Preslava,None,Gore-dolu,20,2014-11-24T15:34:18Z,0.605,0.86,9,-2.7359999999999998,0,0.0656,0.365,0.0,0.34,0.909,87.982,211427
1bgwg3cviAPHvsGmyJL6dz,Fiki,Galena,None,"Bozhe, prosti",26,2014-10-13T17:06:47Z,0.8,0.774,9,-6.239,0,0.040600000000000004,0.08020000000000001,2.4599999999999997e-06,0.274,0.519,102.992,200907
70kD4Tpy03WZcSHIdAiRd2,Dzhena,None,None,Moli se da ne pochna,6,2014-02-27T14:11:50Z,0.706,0.888,1,-5.568,1,0.07880000000000001,0.20500000000000002,0.0,0.294,0.712,90.01,274467
2bnW7A0mhqoOsHxfduwS0F,Galena,Zhivko Miks,None,Havana tropikana,32,2014-07-14T13:14:34Z,0.751,0.881,1,-4.179,1,0.0635,0.00483,7.030000000000001e-05,0.06770000000000001,0.367,128.024,254234
4WiJBwbrqe10PAct1gCihq,Tony Christie,None,None,I Did What I Did For Maria - Live,3,2014-07-28T18:05:15Z,0.513,0.769,7,-8.3,1,0.0703,0.541,7.96e-06,0.9540000000000001,0.8200000000000001,129.496,205403
1lp26GeczlB35cONR0dhIF,Galin,Ani Hoang,Kristiana,Mezhdu nas,18,2014-07-21T15:16:47Z,0.501,0.968,7,-5.477,1,0.09230000000000001,0.058,0.008280000000000001,0.251,0.779,170.022,279023,4
5KCh59RIFzfUjenMzyJHN3,Mi querido grupo Chuy,None,None,Mariachi memorimaneado / Morosos incobrables,0,2014-11-08T17:51:33Z,0.526,0.64,7,-6.131,1,0.0366,0.9570000000000001,0.9590000000000001,0.773,0.631,129.494,111935,4
1dLrgOFqT7tBYHpGlFMKF1,Tedi Aleksandrova,Boris Dali,None,K'vo stava tuka,14,2014-11-10T16:42:23Z,0.769,0.882,5,-4.005,0,0.227,0.36,0.0,0.359,0.869,177.925,257804,4
3NMlAYWxFLPmn0ORb0X3Fp,Fiki,None,None,Stiga,0,2014-07-18T17:18:30Z,0.654,0.891,11,-3.499,0,0.108,0.43,0.0,0.09820000000000001,0.783,93.892,201520,4
6cfY83U02b4INCy6kom19d,Roksana,Djamaykata,None,"A taka, taka",13,2014-03-07T13:39:18Z,0.662,0.8290000000000001,5,-4.63,0,0.10300000000000001,0.004520000000000001,0.0,0.262,0.753,169.993,305442,4
